2022-11-10 15:26:24,433 DEBUG   HandlerThread:10303 [system_monitor.py:probe():177] {'os': 'Linux-5.4.0-131-generic-x86_64-with-glibc2.17', 'python': '3.8.13', 'heartbeatAt': '2022-11-10T21:26:24.427319', 'startedAt': '2022-11-10T21:26:24.333225', 'docker': None, 'cuda': None, 'args': ('-N', 'flan-t5-xxl', '-M', 'google/flan-t5-xxl'), 'state': 'running', 'program': 't5_finetune.py', 'codePath': 't5_finetune.py', 'host': 'terminator7', 'username': 'zw16', 'executable': '/home/zw16/anaconda3/envs/QG/bin/python', 'cpu_count': 128, 'cpu_count_logical': 128, 'cpu_freq': {'current': 2415.321421875, 'min': 1500.0, 'max': 2250.0}, 'cpu_freq_per_core': [{'current': 1448.018, 'min': 1500.0, 'max': 2250.0}, {'current': 3254.544, 'min': 1500.0, 'max': 2250.0}, {'current': 3245.807, 'min': 1500.0, 'max': 2250.0}, {'current': 3240.371, 'min': 1500.0, 'max': 2250.0}, {'current': 3238.866, 'min': 1500.0, 'max': 2250.0}, {'current': 3252.5, 'min': 1500.0, 'max': 2250.0}, {'current': 3241.195, 'min': 1500.0, 'max': 2250.0}, {'current': 1623.229, 'min': 1500.0, 'max': 2250.0}, {'current': 1443.942, 'min': 1500.0, 'max': 2250.0}, {'current': 3249.899, 'min': 1500.0, 'max': 2250.0}, {'current': 3253.969, 'min': 1500.0, 'max': 2250.0}, {'current': 3240.564, 'min': 1500.0, 'max': 2250.0}, {'current': 3250.22, 'min': 1500.0, 'max': 2250.0}, {'current': 3247.539, 'min': 1500.0, 'max': 2250.0}, {'current': 3257.613, 'min': 1500.0, 'max': 2250.0}, {'current': 1623.988, 'min': 1500.0, 'max': 2250.0}, {'current': 1623.031, 'min': 1500.0, 'max': 2250.0}, {'current': 2903.255, 'min': 1500.0, 'max': 2250.0}, {'current': 3240.926, 'min': 1500.0, 'max': 2250.0}, {'current': 1621.579, 'min': 1500.0, 'max': 2250.0}, {'current': 2927.723, 'min': 1500.0, 'max': 2250.0}, {'current': 2990.682, 'min': 1500.0, 'max': 2250.0}, {'current': 2776.677, 'min': 1500.0, 'max': 2250.0}, {'current': 2782.314, 'min': 1500.0, 'max': 2250.0}, {'current': 2851.512, 'min': 1500.0, 'max': 2250.0}, {'current': 1625.035, 'min': 1500.0, 'max': 2250.0}, {'current': 2907.359, 'min': 1500.0, 'max': 2250.0}, {'current': 3253.427, 'min': 1500.0, 'max': 2250.0}, {'current': 1416.834, 'min': 1500.0, 'max': 2250.0}, {'current': 2994.778, 'min': 1500.0, 'max': 2250.0}, {'current': 2976.939, 'min': 1500.0, 'max': 2250.0}, {'current': 2982.702, 'min': 1500.0, 'max': 2250.0}, {'current': 2990.202, 'min': 1500.0, 'max': 2250.0}, {'current': 3006.348, 'min': 1500.0, 'max': 2250.0}, {'current': 1406.462, 'min': 1500.0, 'max': 2250.0}, {'current': 2999.045, 'min': 1500.0, 'max': 2250.0}, {'current': 2956.377, 'min': 1500.0, 'max': 2250.0}, {'current': 2990.511, 'min': 1500.0, 'max': 2250.0}, {'current': 2983.439, 'min': 1500.0, 'max': 2250.0}, {'current': 2988.625, 'min': 1500.0, 'max': 2250.0}, {'current': 2962.049, 'min': 1500.0, 'max': 2250.0}, {'current': 1416.98, 'min': 1500.0, 'max': 2250.0}, {'current': 2987.114, 'min': 1500.0, 'max': 2250.0}, {'current': 2980.293, 'min': 1500.0, 'max': 2250.0}, {'current': 2870.876, 'min': 1500.0, 'max': 2250.0}, {'current': 2893.683, 'min': 1500.0, 'max': 2250.0}, {'current': 2892.539, 'min': 1500.0, 'max': 2250.0}, {'current': 3238.295, 'min': 1500.0, 'max': 2250.0}, {'current': 1430.238, 'min': 1500.0, 'max': 2250.0}, {'current': 1753.196, 'min': 1500.0, 'max': 2250.0}, {'current': 2982.288, 'min': 1500.0, 'max': 2250.0}, {'current': 3047.257, 'min': 1500.0, 'max': 2250.0}, {'current': 2961.304, 'min': 1500.0, 'max': 2250.0}, {'current': 1415.525, 'min': 1500.0, 'max': 2250.0}, {'current': 2999.659, 'min': 1500.0, 'max': 2250.0}, {'current': 2978.126, 'min': 1500.0, 'max': 2250.0}, {'current': 3246.663, 'min': 1500.0, 'max': 2250.0}, {'current': 2907.652, 'min': 1500.0, 'max': 2250.0}, {'current': 3219.986, 'min': 1500.0, 'max': 2250.0}, {'current': 1442.429, 'min': 1500.0, 'max': 2250.0}, {'current': 2937.783, 'min': 1500.0, 'max': 2250.0}, {'current': 3009.28, 'min': 1500.0, 'max': 2250.0}, {'current': 2981.873, 'min': 1500.0, 'max': 2250.0}, {'current': 2991.535, 'min': 1500.0, 'max': 2250.0}, {'current': 1800.213, 'min': 1500.0, 'max': 2250.0}, {'current': 1723.651, 'min': 1500.0, 'max': 2250.0}, {'current': 1726.188, 'min': 1500.0, 'max': 2250.0}, {'current': 1722.666, 'min': 1500.0, 'max': 2250.0}, {'current': 1648.375, 'min': 1500.0, 'max': 2250.0}, {'current': 3299.742, 'min': 1500.0, 'max': 2250.0}, {'current': 1647.658, 'min': 1500.0, 'max': 2250.0}, {'current': 3280.622, 'min': 1500.0, 'max': 2250.0}, {'current': 1495.939, 'min': 1500.0, 'max': 2250.0}, {'current': 1498.72, 'min': 1500.0, 'max': 2250.0}, {'current': 1797.543, 'min': 1500.0, 'max': 2250.0}, {'current': 1799.104, 'min': 1500.0, 'max': 2250.0}, {'current': 1649.241, 'min': 1500.0, 'max': 2250.0}, {'current': 3299.684, 'min': 1500.0, 'max': 2250.0}, {'current': 1648.003, 'min': 1500.0, 'max': 2250.0}, {'current': 1649.112, 'min': 1500.0, 'max': 2250.0}, {'current': 1464.18, 'min': 1500.0, 'max': 2250.0}, {'current': 3296.2, 'min': 1500.0, 'max': 2250.0}, {'current': 1465.541, 'min': 1500.0, 'max': 2250.0}, {'current': 1466.248, 'min': 1500.0, 'max': 2250.0}, {'current': 1498.098, 'min': 1500.0, 'max': 2250.0}, {'current': 1797.602, 'min': 1500.0, 'max': 2250.0}, {'current': 1500.337, 'min': 1500.0, 'max': 2250.0}, {'current': 1798.562, 'min': 1500.0, 'max': 2250.0}, {'current': 1496.257, 'min': 1500.0, 'max': 2250.0}, {'current': 1497.592, 'min': 1500.0, 'max': 2250.0}, {'current': 1499.794, 'min': 1500.0, 'max': 2250.0}, {'current': 1499.857, 'min': 1500.0, 'max': 2250.0}, {'current': 1499.965, 'min': 1500.0, 'max': 2250.0}, {'current': 1478.201, 'min': 1500.0, 'max': 2250.0}, {'current': 1499.646, 'min': 1500.0, 'max': 2250.0}, {'current': 1499.36, 'min': 1500.0, 'max': 2250.0}, {'current': 1798.721, 'min': 1500.0, 'max': 2250.0}, {'current': 1498.752, 'min': 1500.0, 'max': 2250.0}, {'current': 1798.066, 'min': 1500.0, 'max': 2250.0}, {'current': 1498.708, 'min': 1500.0, 'max': 2250.0}, {'current': 1466.902, 'min': 1500.0, 'max': 2250.0}, {'current': 1798.62, 'min': 1500.0, 'max': 2250.0}, {'current': 1798.452, 'min': 1500.0, 'max': 2250.0}, {'current': 1499.677, 'min': 1500.0, 'max': 2250.0}, {'current': 1466.569, 'min': 1500.0, 'max': 2250.0}, {'current': 3284.319, 'min': 1500.0, 'max': 2250.0}, {'current': 1466.192, 'min': 1500.0, 'max': 2250.0}, {'current': 1466.21, 'min': 1500.0, 'max': 2250.0}, {'current': 1498.979, 'min': 1500.0, 'max': 2250.0}, {'current': 1796.165, 'min': 1500.0, 'max': 2250.0}, {'current': 1795.314, 'min': 1500.0, 'max': 2250.0}, {'current': 1797.317, 'min': 1500.0, 'max': 2250.0}, {'current': 1466.914, 'min': 1500.0, 'max': 2250.0}, {'current': 1648.65, 'min': 1500.0, 'max': 2250.0}, {'current': 3291.769, 'min': 1500.0, 'max': 2250.0}, {'current': 3295.217, 'min': 1500.0, 'max': 2250.0}, {'current': 1649.512, 'min': 1500.0, 'max': 2250.0}, {'current': 1648.196, 'min': 1500.0, 'max': 2250.0}, {'current': 3292.903, 'min': 1500.0, 'max': 2250.0}, {'current': 3288.564, 'min': 1500.0, 'max': 2250.0}, {'current': 1646.923, 'min': 1500.0, 'max': 2250.0}, {'current': 3293.628, 'min': 1500.0, 'max': 2250.0}, {'current': 1465.415, 'min': 1500.0, 'max': 2250.0}, {'current': 1465.924, 'min': 1500.0, 'max': 2250.0}, {'current': 3285.847, 'min': 1500.0, 'max': 2250.0}, {'current': 1467.791, 'min': 1500.0, 'max': 2250.0}, {'current': 3303.588, 'min': 1500.0, 'max': 2250.0}, {'current': 3286.454, 'min': 1500.0, 'max': 2250.0}], 'disk': {'total': 7095.969635009766, 'used': 5578.985954284668}, 'gpu': 'Quadro RTX 8000', 'gpu_count': 8, 'gpu_devices': [{'name': 'Quadro RTX 8000', 'memory_total': 51539607552}, {'name': 'Quadro RTX 8000', 'memory_total': 51539607552}, {'name': 'Quadro RTX 8000', 'memory_total': 51539607552}, {'name': 'Quadro RTX 8000', 'memory_total': 51539607552}, {'name': 'Quadro RTX 8000', 'memory_total': 51539607552}, {'name': 'Quadro RTX 8000', 'memory_total': 51539607552}, {'name': 'Quadro RTX 8000', 'memory_total': 51539607552}, {'name': 'Quadro RTX 8000', 'memory_total': 51539607552}], 'memory': {'total': 1511.699062347412}}
2022-11-10 15:26:24,433 INFO    HandlerThread:10303 [system_monitor.py:probe():178] Finished collecting system info
2022-11-10 15:26:24,433 INFO    HandlerThread:10303 [system_monitor.py:probe():181] Publishing system info
2022-11-10 15:26:24,433 DEBUG   HandlerThread:10303 [system_info.py:_save_pip():51] Saving list of pip packages installed into the current environment
2022-11-10 15:26:24,433 DEBUG   HandlerThread:10303 [system_info.py:_save_pip():67] Saving pip packages done
2022-11-10 15:26:24,433 DEBUG   HandlerThread:10303 [system_info.py:_save_conda():74] Saving list of conda packages installed into the current environment
2022-11-10 15:26:25,388 DEBUG   HandlerThread:10303 [system_info.py:_save_conda():86] Saving conda packages done
2022-11-10 15:26:25,391 INFO    HandlerThread:10303 [system_monitor.py:probe():183] Finished publishing system info
2022-11-10 15:26:25,590 DEBUG   SenderThread:10303 [sender.py:send():303] send: exit
2022-11-10 15:26:25,591 INFO    SenderThread:10303 [sender.py:send_exit():442] handling exit code: 1
